date_range,season,model,scenario,variable,mean,min,max,median,hi_std,lo_std,q1,q3,Location,Description
1950_2009,DJF,CRU-TS40,Historical,tas,-1.9,-9.7,3.6,-1.8,0.5,-4.3,-3.3,-0.3,Juneau (Dzánti K'ihéeni), Location: Juneau (Dzánti K'ihéeni); View a report for this location at https://earthmaps.io/temperature/point/58.3019/-134.42; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
1950_2009,JJA,CRU-TS40,Historical,tas,12.9,10.9,14.6,13.1,13.7,12.1,12.5,13.5,Juneau (Dzánti K'ihéeni), Location: Juneau (Dzánti K'ihéeni); View a report for this location at https://earthmaps.io/temperature/point/58.3019/-134.42; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
1950_2009,MAM,CRU-TS40,Historical,tas,4.7,-1.6,10.6,4.8,8.2,1.2,1.3,8.2,Juneau (Dzánti K'ihéeni), Location: Juneau (Dzánti K'ihéeni); View a report for this location at https://earthmaps.io/temperature/point/58.3019/-134.42; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
1950_2009,SON,CRU-TS40,Historical,tas,6.1,-1.3,11.1,6.2,9.5,2.7,3.1,9.8,Juneau (Dzánti K'ihéeni), Location: Juneau (Dzánti K'ihéeni); View a report for this location at https://earthmaps.io/temperature/point/58.3019/-134.42; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
2040_2069,DJF,5modelAvg,rcp45,tas,0.6,,,,,,,,Juneau (Dzánti K'ihéeni), Location: Juneau (Dzánti K'ihéeni); View a report for this location at https://earthmaps.io/temperature/point/58.3019/-134.42; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
2040_2069,DJF,5modelAvg,rcp60,tas,0.5,,,,,,,,Juneau (Dzánti K'ihéeni), Location: Juneau (Dzánti K'ihéeni); View a report for this location at https://earthmaps.io/temperature/point/58.3019/-134.42; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
2040_2069,DJF,5modelAvg,rcp85,tas,1.1,,,,,,,,Juneau (Dzánti K'ihéeni), Location: Juneau (Dzánti K'ihéeni); View a report for this location at https://earthmaps.io/temperature/point/58.3019/-134.42; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
2040_2069,DJF,CCSM4,rcp45,tas,1.2,,,,,,,,Juneau (Dzánti K'ihéeni), Location: Juneau (Dzánti K'ihéeni); View a report for this location at https://earthmaps.io/temperature/point/58.3019/-134.42; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
2040_2069,DJF,CCSM4,rcp60,tas,1.0,,,,,,,,Juneau (Dzánti K'ihéeni), Location: Juneau (Dzánti K'ihéeni); View a report for this location at https://earthmaps.io/temperature/point/58.3019/-134.42; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
2040_2069,DJF,CCSM4,rcp85,tas,1.2,,,,,,,,Juneau (Dzánti K'ihéeni), Location: Juneau (Dzánti K'ihéeni); View a report for this location at https://earthmaps.io/temperature/point/58.3019/-134.42; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
2040_2069,DJF,MRI-CGCM3,rcp45,tas,0.3,,,,,,,,Juneau (Dzánti K'ihéeni), Location: Juneau (Dzánti K'ihéeni); View a report for this location at https://earthmaps.io/temperature/point/58.3019/-134.42; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
2040_2069,DJF,MRI-CGCM3,rcp60,tas,0.5,,,,,,,,Juneau (Dzánti K'ihéeni), Location: Juneau (Dzánti K'ihéeni); View a report for this location at https://earthmaps.io/temperature/point/58.3019/-134.42; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
2040_2069,DJF,MRI-CGCM3,rcp85,tas,0.4,,,,,,,,Juneau (Dzánti K'ihéeni), Location: Juneau (Dzánti K'ihéeni); View a report for this location at https://earthmaps.io/temperature/point/58.3019/-134.42; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
