date_range,season,model,scenario,variable,mean,min,max,median,hi_std,lo_std,q1,q3,Location,Description
1950_2009,DJF,CRU-TS40,Historical,tas,-25.5,-30.7,-19.0,-25.4,-23.1,-27.9,-26.9,-23.8,Utqiaġvik (Barrow), Location: Utqiaġvik (Barrow); View a report for this location at https://earthmaps.io/temperature/point/71.2905/-156.789; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
1950_2009,JJA,CRU-TS40,Historical,tas,2.9,-0.3,5.6,3.1,4.4,1.5,2.0,3.9,Utqiaġvik (Barrow), Location: Utqiaġvik (Barrow); View a report for this location at https://earthmaps.io/temperature/point/71.2905/-156.789; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
1950_2009,MAM,CRU-TS40,Historical,tas,-17.0,-29.7,-4.2,-17.8,-8.9,-25.0,-24.4,-7.4,Utqiaġvik (Barrow), Location: Utqiaġvik (Barrow); View a report for this location at https://earthmaps.io/temperature/point/71.2905/-156.789; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
1950_2009,SON,CRU-TS40,Historical,tas,-9.3,-22.6,2.0,-9.4,-2.1,-16.5,-15.8,-1.6,Utqiaġvik (Barrow), Location: Utqiaġvik (Barrow); View a report for this location at https://earthmaps.io/temperature/point/71.2905/-156.789; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
2040_2069,DJF,5modelAvg,rcp45,tas,-18.5,,,,,,,,Utqiaġvik (Barrow), Location: Utqiaġvik (Barrow); View a report for this location at https://earthmaps.io/temperature/point/71.2905/-156.789; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
2040_2069,DJF,5modelAvg,rcp60,tas,-18.7,,,,,,,,Utqiaġvik (Barrow), Location: Utqiaġvik (Barrow); View a report for this location at https://earthmaps.io/temperature/point/71.2905/-156.789; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
2040_2069,DJF,5modelAvg,rcp85,tas,-15.9,,,,,,,,Utqiaġvik (Barrow), Location: Utqiaġvik (Barrow); View a report for this location at https://earthmaps.io/temperature/point/71.2905/-156.789; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
2040_2069,DJF,CCSM4,rcp45,tas,-19.3,,,,,,,,Utqiaġvik (Barrow), Location: Utqiaġvik (Barrow); View a report for this location at https://earthmaps.io/temperature/point/71.2905/-156.789; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
2040_2069,DJF,CCSM4,rcp60,tas,-18.3,,,,,,,,Utqiaġvik (Barrow), Location: Utqiaġvik (Barrow); View a report for this location at https://earthmaps.io/temperature/point/71.2905/-156.789; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
2040_2069,DJF,CCSM4,rcp85,tas,-16.1,,,,,,,,Utqiaġvik (Barrow), Location: Utqiaġvik (Barrow); View a report for this location at https://earthmaps.io/temperature/point/71.2905/-156.789; tas is the mean annual near-surface air temperature in degrees Celsius for the specified model and scenario; model is the global climate model used to generate the data; scenario is the emissions scenario used to generate the data; mean is the mean of annual means; median is the median of annual means; max is the maximum annual mean; min is the minimum annual mean; q1 is the first quartile of the annual means; q3 is the third quartile of the annual means; hi_std is the mean + standard deviation of annual means; lo_std is the mean - standard deviation of annual means; DJF is December - February; MAM is March - May; JJA is June - August; SON is September - November
